region,province,PH_code,posts,filtered_location,lat,long,annotations,extracted_words
X,Misamis Occidental,PH-10,"Don't feel well, i have cough","8.333333, 123.7",8.333333,123.7,"PN,COVID",cough
XI,Davao del Sur,PH-11,"Don't feel well, i have pamumutla","6.6983658, 125.3612135",6.6983658,125.3612135,AURI,pamumutla
XI,Davao Occidental,PH-11,"Don't feel well, i have tb","6.27, 125.6",6.27,125.6,"COVID,AURI",tb
XI,Davao de Oro,PH-11,"Don't feel well, i have sipon","7.45, 126.07",7.45,126.07,AURI,sipon
XI,Davao Oriental,PH-11,"Don't feel well, i have lagnat","7.166667, 126.333333",7.166667,126.333333,PN,lagnat
XI,Davao Oriental,PH-11,"Don't feel well, i have cough","7.166667, 126.333333",7.166667,126.333333,"PN,AURI",cough
XII,South Cotabato,PH-12,"Don't feel well, i have cough","6.2855239, 124.9333096",6.2855239,124.9333096,"AURI,TB",cough
XII,Cotabato,PH-12,"Don't feel well, i have cough","7.27, 124.86",7.27,124.86,"AURI,PN",cough
XIII,Agusan del Norte,PH-13,"Don't feel well, i have chills","8.92, 125.46",8.92,125.46,AURI,chills
XIII,Dinagat Islands,PH-13,"Don't feel well, i have lagnat","10.1577932, 125.5851827",10.1577932,125.5851827,"AURI,COVID",lagnat
XIII,Agusan del Sur,PH-13,"Don't feel well, i have pamamayat","8.36, 125.71",8.36,125.71,"AURI,PN",pamamayat
XIII,Agusan del Sur,PH-13,"Don't feel well, i have tb","8.36, 125.71",8.36,125.71,"AURI,COVID",tb
XIII,Dinagat Islands,PH-13,"Don't feel well, i have ubo","10.1577932, 125.5851827",10.1577932,125.5851827,"TB,COVID",ubo
BARMM,Sulu,PH-15,"Don't feel well, i have sipon","5.9942808, 121.0787926",5.9942808,121.0787926,"COVID,AURI",sipon
BARMM,Basilan,PH-15,"Don't feel well, i have pamamayat","6.55, 122.0666667",6.55,122.0666667,TB,pamamayat
BARMM,Maguindanao del Sur,PH-15,"Don't feel well, i have ubo","6.9234196, 124.5365357",6.9234196,124.5365357,COVID,ubo
