posts,region,province,annotations,extracted_words,PH_code,lat,long,filtered_location
Kinsay ganahan muapil ug dance contest? ,VII,Bohol,"AURI,COVID",painful swallowing,PH-07,9.833333,124.1615579,"9.833333, 124.1615579"
Laging masakit ang lalamunan ko. ,BARMM,Maguindanao del Norte,"COVID,AURI,TB,PN",cough,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Ubo ug sip-on na sad ning panahon. ,XI,Davao del Norte,"PN,COVID",pula ug mata,PH-11,7.6179228,125.6832687,"7.6179228, 125.6832687"
Adto mi sa dagat karong weekend. ,VIII,Eastern Samar,AURI,maplemang ubo,PH-08,11.73,125.37,"11.73, 125.37"
Ang akong ubo wala pa gyud mawala. ,BARMM,Maguindanao del Norte,"COVID,TB,PN,AURI",yellowish or greenish phlegm or mucus,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Sarap mamasyal sa Baguio. ,VIII,Samar,"COVID,TB",uro-uro,PH-08,11.79822185,125.16904177391692,"11.79822185, 125.16904177391692"
Cough and cold season again. ,V,Camarines Norte,"AURI,PN,TB,COVID",tb,PH-05,14.166667,122.75,"14.166667, 122.75"
Lami kaayo ang pagkaon sa Cebu. ,XIII,Surigao del Sur,"PN,TB,COVID",hamubo ug dugo,PH-13,8.84,126.15,"8.84, 126.15"
Kinsay ganahan muapil ug dance contest? ,III,Bulacan,"COVID,PN,TB,AURI",colds,PH-03,15.0,121.083333,"15.0, 121.083333"
Bag-o lang ko nagpalit ug bag. ,BARMM,Tawi-tawi,"TB,COVID,PN",nag positive sa COVID,PH-15,5.2057,120.0265,"5.2057, 120.0265"
Paborito ko ang bagong pelikula ni Alden. ,VI,Antique,"TB,PN",blood-tinged sputum,PH-06,11.1705066,122.083333,"11.1705066, 122.083333"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,X,Lanao del Norte,"COVID,PN,AURI",hoarseness,PH-10,7.9579723,123.9021124,"7.9579723, 123.9021124"
Inom ng maraming tubig para iwas sakit. ,CAR,Kalinga,"TB,PN,AURI",afternoon fever,PH-14,17.5494509,120.9485748,"17.5494509, 120.9485748"
Inom ng maraming tubig para iwas sakit. ,XI,Davao de Oro,"PN,TB",pagkaluya,PH-11,7.45,126.07,"7.45, 126.07"
Cough and cold season again. ,X,Lanao del Norte,"TB,COVID",pamumula ng mata,PH-10,7.9579723,123.9021124,"7.9579723, 123.9021124"
Kinsay nakasuway ug asthma? ,XII,Sultan Kudarat,"TB,AURI",cyanosis,PH-12,6.5556705,124.3271496,"6.5556705, 124.3271496"
Naglisod ko'g ginhawa karon adlawa. ,II,Nueva Vizcaya,AURI,masakit ang katawan,PH-02,16.35,121.13,"16.35, 121.13"
My cough just won't go away. ,VII,Siquijor,"COVID,TB,PN,AURI",plemang kulay berde,PH-07,9.2155864,123.5138212,"9.2155864, 123.5138212"
I love the food in Cebu. ,IVA,Laguna,PN,difficulty of breathing,PH-40,14.1696476,121.3336526,"14.1696476, 121.3336526"
Nakapagbakasyon kami sa Boracay. ,V,Sorsogon,"PN,AURI,TB,COVID",nag sakit ug dughan,PH-05,12.833333,123.916667,"12.833333, 123.916667"
Naglisod ko'g ginhawa karon adlawa. ,II,Isabela,AURI,anosmia,PH-02,17.0,122.0,"17.0, 122.0"
Lami kaayo ang pagkaon sa Cebu. ,VII,Negros Oriental,"PN,COVID,AURI",masakit lumulon,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Bag-o lang ko nagpalit ug bag. ,BARMM,Sulu,"PN,COVID,TB,AURI",mahirap makarinig,PH-15,5.9942808,121.0787926,"5.9942808, 121.0787926"
Inom ng maraming tubig para iwas sakit. ,XIII,Surigao del Norte,"COVID,TB,PN",cyanosis,PH-13,9.7022868,125.5464831,"9.7022868, 125.5464831"
Kinsay nakasuway ug asthma? ,II,Batanes,"TB,COVID,PN",pamumula ng mata,PH-02,20.5,121.9,"20.5, 121.9"
Drinking warm water helps soothe the throat. ,VIII,Samar,"AURI,PN,COVID",loose bowel movement,PH-08,11.79822185,125.16904177391692,"11.79822185, 125.16904177391692"
Sino may kilalang magaling na doktor para sa asthma? ,BARMM,Maguindanao del Norte,"PN,AURI,COVID",masakit sa dibdib kapag umuubo,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Sarap mamasyal sa Baguio. ,IVA,Quezon,COVID,panginginig ng katawan,PH-40,13.9,122.0,"13.9, 122.0"
Naglisod ko'g ginhawa karon adlawa. ,XII,Cotabato,"PN,COVID,TB",baradong ilong,PH-12,7.27,124.86,"7.27, 124.86"
Bag-o lang ko nagpalit ug bag. ,XIII,Agusan del Norte,"COVID,TB",anorexia,PH-13,8.92,125.46,"8.92, 125.46"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,IVA,Rizal,"PN,AURI,TB,COVID",tonsillitis,PH-40,14.65,121.25,"14.65, 121.25"
Ang ganda ng tanawin sa Tagaytay. ,XIII,Agusan del Norte,"PN,COVID,AURI",pagkawala ng pang-amoy,PH-13,8.92,125.46,"8.92, 125.46"
Sino may kilalang magaling na doktor para sa asthma? ,VIII,Southern Leyte,"TB,PN",nag lisud ug hinga,PH-08,10.3475099,125.1250896,"10.3475099, 125.1250896"
Sino may kilalang magaling na doktor para sa asthma? ,II,Nueva Vizcaya,"COVID,PN,AURI,TB",ubo nga naay dulaw ug berde plema,PH-02,16.35,121.13,"16.35, 121.13"
Laging masakit ang lalamunan ko. ,CAR,Kalinga,"COVID,PN",gikurog,PH-14,17.5494509,120.9485748,"17.5494509, 120.9485748"
Ang akong ubo wala pa gyud mawala. ,BARMM,Maguindanao del Sur,"AURI,COVID,PN,TB",walang gana sa pagkain,PH-15,6.9234196,124.5365357,"6.9234196, 124.5365357"
Ang ganda ng tanawin sa Tagaytay. ,III,Pampanga,TB,fatigue,PH-03,15.0519635,120.6445398,"15.0519635, 120.6445398"
Paborito ko ang bagong pelikula ni Alden. ,BARMM,Maguindanao del Norte,COVID,pula ug mata,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Kinsay nakasuway ug asthma? ,X,Misamis Occidental,"TB,COVID,PN",ubo,PH-10,8.333333,123.7,"8.333333, 123.7"
Lami kaayo ang pagkaon sa Cebu. ,III,Bataan,"TB,AURI,PN",nasal congestion,PH-03,14.6436031,120.4657622,"14.6436031, 120.4657622"
Naglisod ko'g ginhawa karon adlawa. ,BARMM,Maguindanao del Norte,TB,low grade fever,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Nindot kaayo ang salida sa sinehan. ,X,Camiguin,"TB,PN,COVID,AURI",huyang ag ubo,PH-10,9.16820085,124.71370839586936,"9.16820085, 124.71370839586936"
Inom ng maraming tubig para iwas sakit. ,VI,Negros Occidental,"TB,PN,AURI",chest pain when you breath,PH-06,10.74261545,122.9703226098689,"10.74261545, 122.9703226098689"
Ubo ug sip-on na sad ning panahon. ,IVB,Oriental Mindoro,COVID,pananakit ng katawan,PH-41,13.2,121.2,"13.2, 121.2"
Nakapagbakasyon kami sa Boracay. ,V,Camarines Norte,"TB,COVID,AURI",nay gamay na hilanat,PH-05,14.166667,122.75,"14.166667, 122.75"
Hirap huminga dahil sa sipon. ,VIII,Biliran,"AURI,TB",init ang pamati,PH-08,11.6,124.49,"11.6, 124.49"
My cough just won't go away. ,X,Camiguin,"TB,PN,COVID",baradong ilong,PH-10,9.16820085,124.71370839586936,"9.16820085, 124.71370839586936"
Bag-o lang ko nagpalit ug bag. ,III,Aurora,AURI,mapaso giabat,PH-03,16.0474764,121.6700916,"16.0474764, 121.6700916"
Nag-enjoy kami sa bagong restaurant sa Makati. ,XI,Davao del Norte,"TB,COVID,PN",sakit sa hiniusang,PH-11,7.6179228,125.6832687,"7.6179228, 125.6832687"
Lami kaayo ang pagkaon sa Cebu. ,IVA,Quezon,"PN,COVID,TB,AURI",uro-uro,PH-40,13.9,122.0,"13.9, 122.0"
Ubo ug sip-on na sad ning panahon. ,I,Pangasinan,PN,feeling tired,PH-01,15.916667,120.333333,"15.916667, 120.333333"
Ang akong ubo wala pa gyud mawala. ,VI,Iloilo,"TB,AURI",nasal discharge,PH-06,10.9522168,122.5799456,"10.9522168, 122.5799456"
Laging masakit ang lalamunan ko. ,XI,Davao Occidental,"TB,AURI,PN,COVID",mabaw ug pag ginhawa,PH-11,6.27,125.6,"6.27, 125.6"
Kinsay ganahan muapil ug dance contest? ,BARMM,Lanao del Sur,"AURI,COVID,PN,TB",hindi magana sa pagkain,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
Paano ba maalis ang ubo na ito? ,BARMM,Sulu,PN,ubo,PH-15,5.9942808,121.0787926,"5.9942808, 121.0787926"
The movie was really good. ,BARMM,Lanao del Sur,"AURI,COVID,PN,TB",fever,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
Naglisod ko'g ginhawa karon adlawa. ,VI,Aklan,"PN,COVID,AURI",walang gana sa pagkain,PH-06,11.6297894,122.2481177,"11.6297894, 122.2481177"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,XII,Sultan Kudarat,"PN,TB,COVID,AURI",mapula ang mata,PH-12,6.5556705,124.3271496,"6.5556705, 124.3271496"
Inom ng maraming tubig para iwas sakit. ,VIII,Biliran,"TB,COVID,PN",gi hilantan sa kulop,PH-08,11.6,124.49,"11.6, 124.49"
Lami kaayo ang pagkaon sa Cebu. ,XI,Davao Oriental,"TB,AURI,PN,COVID",makating lalamunan,PH-11,7.166667,126.333333,"7.166667, 126.333333"
Ubo ug sip-on na sad ning panahon. ,IVB,Romblon,"PN,COVID",suol sa dughan kon moginhawa,PH-41,12.5,122.2,"12.5, 122.2"
Paano ba maalis ang ubo na ito? ,VI,Negros Occidental,"AURI,TB",masakit ang katawan,PH-06,10.74261545,122.9703226098689,"10.74261545, 122.9703226098689"
Cough and cold season again. ,BARMM,Maguindanao del Norte,"TB,COVID,PN,AURI",mahigit tatlong linggong ubo,PH-15,7.1088356,124.2072945,"7.1088356, 124.2072945"
Naglisod ko'g ginhawa karon adlawa. ,I,La Union,"COVID,PN",plemang kulay dilaw,PH-01,16.5735957,120.4089899,"16.5735957, 120.4089899"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,XIII,Surigao del Norte,PN,pleuritic chest pain,PH-13,9.7022868,125.5464831,"9.7022868, 125.5464831"
Paano ba maalis ang ubo na ito? ,IX,Zamboanga del Norte,"TB,PN,AURI",sipon na kulay dilaw,PH-09,8.0,122.666667,"8.0, 122.666667"
My cough just won't go away. ,XIII,Agusan del Norte,"PN,COVID",stuffy nose,PH-13,8.92,125.46,"8.92, 125.46"
Hirap huminga dahil sa sipon. ,VII,Cebu,"COVID,AURI",hindi magana sa pagkain,PH-07,10.2931062,123.9020773,"10.2931062, 123.9020773"
Hirap huminga dahil sa sipon. ,I,Pangasinan,"TB,PN",namamayat,PH-01,15.916667,120.333333,"15.916667, 120.333333"
Sino may kilalang magaling na doktor para sa asthma? ,X,Bukidnon,"TB,PN,COVID",panginginig ng katawan,PH-10,8.022778,124.998611,"8.022778, 124.998611"
Bag-o lang ko nagpalit ug bag. ,XIII,Agusan del Norte,"COVID,TB",sinat,PH-13,8.92,125.46,"8.92, 125.46"
Bag-o lang ko nagpalit ug bag. ,IVA,Quezon,"COVID,PN,TB",sakit kaayo ug lawas,PH-40,13.9,122.0,"13.9, 122.0"
Kinsay nakasuway ug asthma? ,VI,Antique,"COVID,PN,TB,AURI",hindi nawawala ang ubo,PH-06,11.1705066,122.083333,"11.1705066, 122.083333"
Adto mi sa dagat karong weekend. ,III,Nueva Ecija,"AURI,TB",sakit sa ulo,PH-03,15.583333,121.0,"15.583333, 121.0"
Kinsay nakasuway ug asthma? ,XIII,Agusan del Sur,"TB,AURI",huyang ag ubo,PH-13,8.36,125.71,"8.36, 125.71"
Ang akong ubo wala pa gyud mawala. ,II,Batanes,"COVID,TB",medyo nahihilo,PH-02,20.5,121.9,"20.5, 121.9"
Ang akong ubo wala pa gyud mawala. ,XII,Sarangani,"PN,COVID",pananakit ng katawan,PH-12,5.874722,125.275278,"5.874722, 125.275278"
Ang akong ubo wala pa gyud mawala. ,CAR,Apayao,"TB,AURI,PN,COVID",dyspnea,PH-14,18.08557685,121.18792848783632,"18.08557685, 121.18792848783632"
My cough just won't go away. ,VI,Antique,"TB,AURI,PN,COVID",body pain,PH-06,11.1705066,122.083333,"11.1705066, 122.083333"
Lami kaayo ang pagkaon sa Cebu. ,VIII,Leyte,"COVID,AURI,PN,TB",walay gana sa pagkaon,PH-08,10.7841157,124.89232097699272,"10.7841157, 124.89232097699272"
Naglisod ko'g ginhawa karon adlawa. ,VII,Cebu,"COVID,AURI,PN,TB",mahirap lumulon,PH-07,10.2931062,123.9020773,"10.2931062, 123.9020773"
Paano ba maalis ang ubo na ito? ,VIII,Samar,AURI,swollen lymph nodes,PH-08,11.79822185,125.16904177391692,"11.79822185, 125.16904177391692"
Having trouble breathing today. ,XIII,Agusan del Norte,"COVID,TB,PN,AURI",hinahabol ang paghinga,PH-13,8.92,125.46,"8.92, 125.46"
Laging masakit ang lalamunan ko. ,XIII,Agusan del Norte,"TB,AURI,PN,COVID",odynophagia,PH-13,8.92,125.46,"8.92, 125.46"
Sino may kilalang magaling na doktor para sa asthma? ,VII,Bohol,"AURI,COVID,TB,PN",kuli sa pag ginhawa,PH-07,9.833333,124.1615579,"9.833333, 124.1615579"
Kinsay ganahan muapil ug dance contest? ,III,Zambales,"COVID,PN",shaking chills,PH-03,15.23,120.12,"15.23, 120.12"
Lami kaayo ang pagkaon sa Cebu. ,III,Zambales,"COVID,TB",antigen test positive,PH-03,15.23,120.12,"15.23, 120.12"
Kinsay ganahan muapil ug dance contest? ,X,Lanao del Norte,TB,gamay ug pula sa dugo,PH-10,7.9579723,123.9021124,"7.9579723, 123.9021124"
Sarap mamasyal sa Baguio. ,I,Ilocos Sur,"PN,AURI,COVID",fatigue,PH-01,17.2,120.5,"17.2, 120.5"
Does anyone know a good doctor for asthma? ,IVA,Laguna,"PN,AURI,COVID,TB",baradong ilong,PH-40,14.1696476,121.3336526,"14.1696476, 121.3336526"
Inom ng maraming tubig para iwas sakit. ,XII,South Cotabato,"COVID,AURI",dulaw ag plema,PH-12,6.2855239,124.9333096,"6.2855239, 124.9333096"
Naglisod ko'g ginhawa karon adlawa. ,CAR,Apayao,"AURI,TB,COVID",dry cough,PH-14,18.08557685,121.18792848783632,"18.08557685, 121.18792848783632"
Bag-o lang ko nagpalit ug bag. ,XIII,Surigao del Norte,TB,masakit sa dibdib kapag umuubo,PH-13,9.7022868,125.5464831,"9.7022868, 125.5464831"
Paano ba maalis ang ubo na ito? ,XIII,Agusan del Norte,COVID,hilanat,PH-13,8.92,125.46,"8.92, 125.46"
Naglisod ko'g ginhawa karon adlawa. ,VII,Negros Oriental,"PN,COVID,AURI,TB",sinusitis,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,V,Camarines Norte,"PN,AURI",gig balhas,PH-05,14.166667,122.75,"14.166667, 122.75"
Kinsay nakasuway ug asthma? ,IX,Zamboanga del Sur,"PN,AURI",may sinat,PH-09,7.9043,123.3194,"7.9043, 123.3194"
Kinsay ganahan muapil ug dance contest? ,VIII,Biliran,"AURI,COVID,TB,PN",walay gana mo kaon,PH-08,11.6,124.49,"11.6, 124.49"
Hirap huminga dahil sa sipon. ,III,Nueva Ecija,COVID,body aches,PH-03,15.583333,121.0,"15.583333, 121.0"
Ang akong ubo wala pa gyud mawala. ,II,Batanes,PN,masikip sa dibdib kapang huminga,PH-02,20.5,121.9,"20.5, 121.9"
Naglisod ko'g ginhawa karon adlawa. ,BARMM,Lanao del Sur,PN,lagnat sa gabi,PH-15,7.8776443,124.3754759,"7.8776443, 124.3754759"
The movie was really good. ,IVB,Occidental Mindoro,"AURI,COVID",gi sip-on,PH-41,13.0000021,120.9166666,"13.0000021, 120.9166666"
Sino may kilalang magaling na doktor para sa asthma? ,III,Zambales,"COVID,AURI,PN",pagaw,PH-03,15.23,120.12,"15.23, 120.12"
Laging masakit ang lalamunan ko. ,BARMM,Basilan,"TB,PN,COVID,AURI",red eyes,PH-15,6.55,122.0666667,"6.55, 122.0666667"
Nindot kaayo ang salida sa sinehan. ,IVB,Oriental Mindoro,TB,cachexia,PH-41,13.2,121.2,"13.2, 121.2"
Naglisod ko'g ginhawa karon adlawa. ,XIII,Agusan del Norte,"AURI,PN",muscle pain,PH-13,8.92,125.46,"8.92, 125.46"
Laging masakit ang lalamunan ko. ,XI,Davao Occidental,"AURI,COVID",anorexia,PH-11,6.27,125.6,"6.27, 125.6"
Kinsay ganahan muapil ug dance contest? ,VII,Negros Oriental,COVID,nagkalisud ug hinga,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Ang akong ubo wala pa gyud mawala. ,IVB,Romblon,"PN,AURI,TB,COVID",productive cough,PH-41,12.5,122.2,"12.5, 122.2"
Adto mi sa dagat karong weekend. ,IVB,Palawan,TB,sinat,PH-41,11.0798978,120.93734215474105,"11.0798978, 120.93734215474105"
Ubo ug sip-on na sad ning panahon. ,IVB,Occidental Mindoro,"PN,COVID,AURI,TB",walang gana sa pagkain,PH-41,13.0000021,120.9166666,"13.0000021, 120.9166666"
Ang akong ubo wala pa gyud mawala. ,III,Bataan,AURI,myalgia,PH-03,14.6436031,120.4657622,"14.6436031, 120.4657622"
Nakapagbakasyon kami sa Boracay. ,XIII,Surigao del Norte,PN,ubong may plema,PH-13,9.7022868,125.5464831,"9.7022868, 125.5464831"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,III,Pampanga,AURI,mahirap lumulon,PH-03,15.0519635,120.6445398,"15.0519635, 120.6445398"
Laging masakit ang lalamunan ko. ,III,Bataan,"PN,AURI,COVID",kulian sa pag ginhawa,PH-03,14.6436031,120.4657622,"14.6436031, 120.4657622"
Ubo ug sip-on na sad ning panahon. ,XII,Sarangani,"COVID,AURI,PN,TB",sipon,PH-12,5.874722,125.275278,"5.874722, 125.275278"
Sino may kilalang magaling na doktor para sa asthma? ,CAR,Mountain Province,"TB,PN,AURI",larygitis,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Guimaras,"AURI,COVID,PN,TB",hilanat,PH-06,10.5730629,122.6238907,"10.5730629, 122.6238907"
Kinsay nakasuway ug asthma? ,XIII,Dinagat Islands,"PN,COVID,AURI,TB",hemoptysis,PH-13,10.1577932,125.5851827,"10.1577932, 125.5851827"
Sarap mamasyal sa Baguio. ,V,Albay,"COVID,PN,TB",nag lisud ug hinga,PH-05,13.216667,123.55,"13.216667, 123.55"
Adto mi sa dagat karong weekend. ,V,Sorsogon,"COVID,PN",medyo nahihilo,PH-05,12.833333,123.916667,"12.833333, 123.916667"
Bag-o lang ko nagpalit ug bag. ,XII,South Cotabato,COVID,danggason,PH-12,6.2855239,124.9333096,"6.2855239, 124.9333096"
Paano ba maalis ang ubo na ito? ,VII,Negros Oriental,"COVID,TB,AURI,PN",kapoyun,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Laging masakit ang lalamunan ko. ,X,Bukidnon,"TB,COVID,PN",pagkahapo,PH-10,8.022778,124.998611,"8.022778, 124.998611"
Hirap huminga dahil sa sipon. ,BARMM,Basilan,"TB,PN",pagpapawis,PH-15,6.55,122.0666667,"6.55, 122.0666667"
Adto mi sa dagat karong weekend. ,VIII,Eastern Samar,COVID,high temperature,PH-08,11.73,125.37,"11.73, 125.37"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,CAR,Ifugao,"PN,AURI",katugnaw,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Ang akong ubo wala pa gyud mawala. ,IVA,Rizal,"TB,PN,AURI",fatigue,PH-40,14.65,121.25,"14.65, 121.25"
Drinking warm water helps soothe the throat. ,IVB,Occidental Mindoro,"AURI,COVID,TB,PN",body pain,PH-41,13.0000021,120.9166666,"13.0000021, 120.9166666"
Inom ng maraming tubig para iwas sakit. ,VII,Siquijor,"COVID,AURI,PN",danggason,PH-07,9.2155864,123.5138212,"9.2155864, 123.5138212"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,III,Bulacan,PN,gibato nga kakapoy,PH-03,15.0,121.083333,"15.0, 121.083333"
Kinsay ganahan muapil ug dance contest? ,VII,Bohol,"COVID,PN,TB,AURI",nahihirapan makarinig,PH-07,9.833333,124.1615579,"9.833333, 124.1615579"
Inom ng maraming tubig para iwas sakit. ,VI,Antique,PN,pagpapawis,PH-06,11.1705066,122.083333,"11.1705066, 122.083333"
Paano ba maalis ang ubo na ito? ,VII,Negros Oriental,"AURI,COVID,PN,TB",mapula ang mata,PH-07,9.31195655,123.30331407545816,"9.31195655, 123.30331407545816"
Paano ba maalis ang ubo na ito? ,CAR,Mountain Province,PN,plema nga naay dugo,PH-14,16.6496974,121.222187,"16.6496974, 121.222187"
Sino may kilalang magaling na doktor para sa asthma? ,XI,Davao Occidental,PN,kakapoy,PH-11,6.27,125.6,"6.27, 125.6"
Naglisod ko'g ginhawa karon adlawa. ,XIII,Agusan del Norte,"COVID,PN,TB,AURI",walang panlasa,PH-13,8.92,125.46,"8.92, 125.46"
Nindot kaayo ang salida sa sinehan. ,II,Isabela,"TB,PN,AURI,COVID",nagluya,PH-02,17.0,122.0,"17.0, 122.0"
Ang akong ubo wala pa gyud mawala. ,II,Nueva Vizcaya,"COVID,AURI",gikulian pag ginhawa,PH-02,16.35,121.13,"16.35, 121.13"
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,I,La Union,"PN,COVID,AURI",sakit ug kalawasan,PH-01,16.5735957,120.4089899,"16.5735957, 120.4089899"
Laging masakit ang lalamunan ko. ,III,Nueva Ecija,"PN,AURI,COVID,TB",nagpapawis sa gabi,PH-03,15.583333,121.0,"15.583333, 121.0"
Inom ng maraming tubig para iwas sakit. ,III,Aurora,PN,hemoptysis,PH-03,16.0474764,121.6700916,"16.0474764, 121.6700916"
Sarap mamasyal sa Baguio. ,VI,Aklan,"PN,COVID",suol sa dughan kon moginhawa,PH-06,11.6297894,122.2481177,"11.6297894, 122.2481177"
