posts,region,province
This cough for more than three weeks is really getting to me.,VII,Cebu
I've had covid for a few days now.,V,Camarines Norte
May nakakaranas din ba ng ubong walang plema?,IVB,Occidental Mindoro
Why won't this tuberculosis go away?,IX,Zamboanga Sibugay
May tips ba para sa ubo?,XIII,Agusan del Sur
May tips ba para sa plemang kulay dilaw?,BARMM,Maguindanao del Norte
Bakit di mawala ang ubo?,XI,Davao Oriental
Di jud mawala ang kapin sa tulo ka semana nga ubo.,VIII,Samar
Murag init ang pamati/ hilanat ko karon. 😷,III,Zambales
Pila na ka adlaw nga init ang pamati/ hilanat ko.,VII,Siquijor
Unsay tambal sa kapin sa tulo ka semana nga ubo?,III,Tarlac
Out and about in the city.,VIII,Southern Leyte
Di jud mawala ang init ang pamati/ hilanat.,IX,Zamboanga del Sur
Makainis ang ubo nga naay dulaw ug berde plema na ni.,VIII,Southern Leyte
Murag hilanat ko karon. 😷,IX,Zamboanga del Norte
This fever is really getting to me.,XII,Sultan Kudarat
Hindi mawala-wala ang maplemang ubo.,VII,Negros Oriental
Feeling productive cough today. 😷,IVA,Laguna
Hindi mawala-wala ang hindi nawawala ang ubo.,I,Ilocos Norte
Naay tambal para sa tb?,VI,Aklan
"Dealing with cough with yellowish or greenish sputum, any tips?",I,Ilocos Norte
Makainis ang kapin sa tulo ka semana nga ubo na ni.,V,Camarines Norte
Hoping this tb goes away soon.,XII,South Cotabato
Naay tambal para sa init ang pamati?,BARMM,Basilan
Unsay tambal sa hilanat?,IX,Zamboanga del Sur
Bakit di mawala ang mahigit tatlong linggong ubo?,III,Tarlac
Di jud mawala ang daghang plema.,VI,Capiz
Makainis ang daghang plema na ni.,BARMM,Tawi-tawi
Pakiramdam ko plemang kulay berde ngayon. 😷,II,Isabela
May tips ba para sa mahigit tatlong linggong ubo?,CAR,Abra
May nakakaranas din ba ng hindi nawawala ang ubo?,CAR,Apayao
Ngano di man mawala ning hubak?,VII,Negros Oriental
Salamat sa magandang araw.,II,Batanes
Makainis ang init ang pamati/ hilanat na ni.,VI,Capiz
Anyone else experiencing cough?,I,La Union
Hindi mawala-wala ang plemang kulay berde.,CAR,Kalinga
Naay uban naka-experience ug ubo?,II,Quirino
Naay uban naka-experience ug huyang ag ubo?,VIII,Leyte
Sana mawala na itong lagnat.,VI,Capiz
Hoping this dry cough goes away soon.,BARMM,Maguindanao del Norte
"Ugh, cough again...",V,Catanduanes
Makainis ang tb na ni.,XIII,Surigao del Sur
Di jud mawala ang tb.,I,Pangasinan
Hinaot mawala na ni nga init ang pamati/ hilanat.,VI,Aklan
Naay uban naka-experience ug hilanat?,BARMM,Lanao del Sur
Beautiful skies today. 🌤️,III,Bulacan
Unsay tambal sa ubo nga naay dulaw ug berde plema?,IX,Zamboanga Sibugay
Ngano di man mawala ning ubo nga naay dulaw ug berde plema?,BARMM,Tawi-tawi
Ngano di man mawala ning huyang ag ubo?,IX,Zamboanga Sibugay
Makainis ang hubak na ni.,BARMM,Maguindanao del Sur
May nakakaranas din ba ng mainit ang pakiramdam?,IVB,Romblon
Hinaot mawala na ni nga huyang ag ubo.,XI,Davao del Norte
Hindi mawala-wala ang lagnat.,XI,Davao Oriental
"Hay, init ang pamati/ hilanat nasad...",VIII,Southern Leyte
May nakakaranas din ba ng ubo?,X,Misamis Oriental
"Dealing with cough for more than three weeks, any tips?",XII,Cotabato
Di jud mawala ang huyang ag ubo.,III,Pampanga
Ano bang gamot sa plemang kulay dilaw?,III,Aurora
"Hay, daghang plema nasad...",CAR,Kalinga
I've had cough for a few days now.,III,Tarlac
Nakakainis ang ubong walang plema na ito.,XII,Cotabato
Di jud mawala ang hubak.,CAR,Apayao
Hindi mawala-wala ang ubong may plema.,IVB,Romblon
Makainis ang ubo nga naay plema na ni.,XII,Sarangani
Bakit di mawala ang plemang kulay dilaw?,IVA,Quezon
May tips ba para sa mainit ang pakiramdam?,VII,Cebu
"Hay, ubong walang plema na naman...",IX,Zamboanga del Norte
Nakakainis ang mahigit tatlong linggong ubo na ito.,IX,Zamboanga Sibugay
Nakakainis ang lagnat na ito.,BARMM,Tawi-tawi
Sana mawala na itong maplemang ubo.,X,Misamis Oriental
Di jud mawala ang ubo nga naay dulaw ug berde plema.,V,Camarines Sur
Unsay tambal sa hubak na walay plema?,BARMM,Maguindanao del Sur
Naay tambal para sa kapin sa tulo ka semana nga ubo?,I,Ilocos Sur
Hoping this tuberculosis goes away soon.,I,Pangasinan
Unsay tambal sa naghubak na naay kauban na dugo?,III,Bulacan
Loving the weather today!,VIII,Southern Leyte
Hindi mawala-wala ang plemang kulay dilaw.,III,Zambales
Pila na ka adlaw nga hubak na walay plema ko.,X,Misamis Oriental
Hoping this cough goes away soon.,BARMM,Tawi-tawi
Makainis ang init ang pamati na ni.,VI,Negros Occidental
Pakiramdam ko ubong walang plema ngayon. 😷,III,Bataan
Sana mawala na itong matagal ng may ubo.,V,Camarines Norte
Feeling tuberculosis today. 😷,XIII,Agusan del Sur
Ngano di man mawala ning ubo nga naay plema?,X,Misamis Oriental
Anyone else experiencing productive cough?,BARMM,Maguindanao del Sur
Why won't this fever go away?,CAR,Mountain Province
Anyone else experiencing covid?,XIII,Dinagat Islands
Pila na ka adlaw nga ubo nga naay plema ko.,CAR,Mountain Province
Hinaot mawala na ni nga naghubak na naay kauban na dugo.,VIII,Samar
May nakakaranas din ba ng mahigit tatlong linggong ubo?,II,Cagayan
Murag init ang pamati ko karon. 😷,VIII,Samar
"Hay, tb nasad...",III,Zambales
May tips ba para sa ubong walang plema?,I,La Union
Hinaot mawala na ni nga ubo nga naay dulaw ug berde plema.,IX,Zamboanga del Sur
Naay tambal para sa ubo nga naay dulaw ug berde plema?,IVA,Rizal
"Hay, kapin sa tulo ka semana nga ubo nasad...",IVB,Oriental Mindoro
Ngano di man mawala ning init ang pamati/ hilanat?,XIII,Surigao del Norte
Can't shake off this tb.,VI,Capiz
May tips ba para sa hindi nawawala ang ubo?,IVB,Marinduque
"Dealing with covid, any tips?",X,Bukidnon
Bakit di mawala ang ubong may plema?,XIII,Surigao del Sur
Anyone else experiencing cough with phlegm?,VI,Antique
Hoping this cough with yellowish or greenish sputum goes away soon.,VI,Iloilo
Anyone have remedies for cough for more than three weeks?,V,Camarines Sur
Ano bang gamot sa mahigit tatlong linggong ubo?,III,Bataan
Pila na ka adlaw nga daghang plema ko.,VII,Bohol
Naay tambal para sa ubo nga naay plema?,II,Isabela
Nakakainis ang hindi nawawala ang ubo na ito.,XI,Davao del Norte
Di jud mawala ang init ang pamati.,VIII,Biliran
Ngano di man mawala ning kapin sa tulo ka semana nga ubo?,XIII,Agusan del Norte
May tips ba para sa plemang kulay berde?,I,Ilocos Norte
Anyone have remedies for tuberculosis?,CAR,Mountain Province
Unsay tambal sa ubo?,VII,Bohol
"Hay, init ang pamati nasad...",III,Bataan
Hinaot mawala na ni nga daghang plema.,CAR,Kalinga
"Hay, ubo nga naay plema nasad...",III,Bataan
Feeling tb today. 😷,V,Catanduanes
Naay tambal para sa ubo?,XIII,Surigao del Norte
"Hay, plemang kulay dilaw na naman...",XI,Davao Oriental
Unsay tambal sa daghang plema?,XIII,Surigao del Sur
Sana mawala na itong hindi nawawala ang ubo.,VI,Antique
Makainis ang ubo na ni.,BARMM,Sulu
Ngano di man mawala ning ubo?,VII,Bohol
Hinaot mawala na ni nga ubo nga naay plema.,CAR,Abra
"Hay, maplemang ubo na naman...",VI,Negros Occidental
I've had cough with phlegm for a few days now.,I,Pangasinan
"Hay, lagnat na naman...",X,Lanao del Norte
Anyone else experiencing cough for more than three weeks?,CAR,Kalinga
Hindi mawala-wala ang mahigit tatlong linggong ubo.,BARMM,Maguindanao del Sur
Naay uban naka-experience ug init ang pamati?,VI,Guimaras
Naay uban naka-experience ug hubak na walay plema?,XI,Davao de Oro
This dry cough is really getting to me.,I,La Union
Grateful for this beautiful day.,II,Nueva Vizcaya
"Hay, hindi nawawala ang ubo na naman...",V,Camarines Sur
Can't shake off this cough for more than three weeks.,XIII,Agusan del Norte
Hinaot mawala na ni nga hubak na walay plema.,XI,Davao Oriental
May nakakaranas din ba ng plemang kulay berde?,V,Catanduanes
Di jud mawala ang hubak na walay plema.,IVA,Cavite
Naay tambal para sa init ang pamati/ hilanat?,IX,Zamboanga Sibugay
Di jud mawala ang ubo nga naay plema.,CAR,Ifugao
Anyone else experiencing tb?,II,Isabela
Naay uban naka-experience ug kapin sa tulo ka semana nga ubo?,VIII,Southern Leyte
Naay uban naka-experience ug ubo nga naay dulaw ug berde plema?,XIII,Surigao del Norte
Makainis ang hubak na walay plema na ni.,VI,Antique
"Ugh, cough with yellowish or greenish sputum again...",IVA,Cavite
"Hay, plemang kulay berde na naman...",V,Camarines Sur
Ilang araw na akong may matagal ng may ubo.,V,Camarines Norte
Nakakainis ang maplemang ubo na ito.,BARMM,Basilan
This cough with phlegm is really getting to me.,CAR,Apayao
Unsay tambal sa ubo nga naay plema?,IVA,Rizal
"Hay, hubak na walay plema nasad...",V,Catanduanes
Makainis ang naghubak na naay kauban na dugo na ni.,II,Batanes
"Ugh, covid again...",VIII,Northern Samar
Why won't this productive cough go away?,I,La Union
Hindi mawala-wala ang matagal ng may ubo.,IVA,Quezon
Can't shake off this cough with phlegm.,XIII,Dinagat Islands
Ano bang gamot sa hindi nawawala ang ubo?,VI,Aklan
Hoping this covid goes away soon.,VI,Capiz
Anyone have remedies for fever?,XI,Davao Occidental
Anyone have remedies for covid?,I,Ilocos Sur
Ilang araw na akong may maplemang ubo.,VI,Guimaras
Hinaot mawala na ni nga tb.,III,Aurora
I've had tb for a few days now.,X,Bukidnon
Anyone else experiencing tuberculosis?,VI,Aklan
"Hay, ubong may plema na naman...",XI,Davao del Norte
Anyone else experiencing fever?,X,Bukidnon
"Hay, ubo nasad...",XIII,Dinagat Islands
Ngano di man mawala ning daghang plema?,I,Ilocos Norte
Hindi mawala-wala ang ubong walang plema.,IVB,Romblon
"Dealing with fever, any tips?",BARMM,Basilan
Bakit di mawala ang matagal ng may ubo?,XI,Davao del Norte
Murag hubak na walay plema ko karon. 😷,IVA,Cavite
Pakiramdam ko hindi nawawala ang ubo ngayon. 😷,VI,Guimaras
Can't shake off this tuberculosis.,IX,Zamboanga del Norte
"Hay, naghubak na naay kauban na dugo nasad...",X,Bukidnon
Why won't this dry cough go away?,X,Lanao del Norte
Murag daghang plema ko karon. 😷,I,Ilocos Norte
Pakiramdam ko plemang kulay dilaw ngayon. 😷,XII,Sultan Kudarat
Can't shake off this fever.,IVA,Rizal
Feeling covid today. 😷,BARMM,Basilan
Hoping this productive cough goes away soon.,IX,Zamboanga del Norte
Ano bang gamot sa maplemang ubo?,IVB,Romblon
Hinaot mawala na ni nga init ang pamati.,V,Sorsogon
Nakakainis ang plemang kulay dilaw na ito.,IX,Zamboanga del Sur
Naay tambal para sa huyang ag ubo?,CAR,Ifugao
Makainis ang huyang ag ubo na ni.,VI,Guimaras
Bakit di mawala ang hindi nawawala ang ubo?,XII,Sultan Kudarat
Hoping this fever goes away soon.,VII,Siquijor
Feeling cough with phlegm today. 😷,IVB,Marinduque
Hoping this cough for more than three weeks goes away soon.,CAR,Abra
May nakakaranas din ba ng plemang kulay dilaw?,I,La Union
Sana mawala na itong ubong may plema.,VI,Negros Occidental
Ilang araw na akong may plemang kulay dilaw.,IVA,Laguna
Anyone have remedies for cough with phlegm?,V,Camarines Sur
Pila na ka adlaw nga kapin sa tulo ka semana nga ubo ko.,X,Misamis Occidental
Pakiramdam ko matagal ng may ubo ngayon. 😷,XIII,Agusan del Sur
Can't shake off this cough with yellowish or greenish sputum.,II,Quirino
Nakakainis ang matagal ng may ubo na ito.,CAR,Apayao
I've had fever for a few days now.,VIII,Eastern Samar
Why won't this tb go away?,CAR,Abra
Pila na ka adlaw nga ubo ko.,VI,Negros Occidental
May nakakaranas din ba ng maplemang ubo?,IVB,Oriental Mindoro
"Hay, mahigit tatlong linggong ubo na naman...",VI,Aklan
Murag huyang ag ubo ko karon. 😷,BARMM,Tawi-tawi
Hoping this cough with phlegm goes away soon.,BARMM,Maguindanao del Sur
"Ugh, fever again...",III,Nueva Ecija
Murag naghubak na naay kauban na dugo ko karon. 😷,I,Ilocos Norte
Can't shake off this covid.,IVB,Romblon
May tips ba para sa ubong may plema?,XII,South Cotabato
I've had dry cough for a few days now.,VII,Negros Oriental
"Dealing with cough, any tips?",CAR,Ifugao
Ilang araw na akong may hindi nawawala ang ubo.,II,Nueva Vizcaya
Unsay tambal sa init ang pamati/ hilanat?,XIII,Agusan del Sur
Ilang araw na akong may plemang kulay berde.,X,Camiguin
Naay tambal para sa naghubak na naay kauban na dugo?,III,Zambales
May nakakaranas din ba ng lagnat?,V,Albay
Nakakainis ang plemang kulay berde na ito.,X,Bukidnon
I've had productive cough for a few days now.,VI,Negros Occidental
Feeling dry cough today. 😷,II,Batanes
Why won't this cough with phlegm go away?,II,Cagayan
"Hay, ubo nga naay dulaw ug berde plema nasad...",III,Pampanga
This cough with yellowish or greenish sputum is really getting to me.,BARMM,Tawi-tawi
"Dealing with productive cough, any tips?",CAR,Apayao
Sana mawala na itong plemang kulay dilaw.,I,La Union
Why won't this cough go away?,BARMM,Basilan
Why won't this cough for more than three weeks go away?,III,Zambales
This productive cough is really getting to me.,NCR,Metro Manila
"Hay, matagal ng may ubo na naman...",I,Ilocos Norte
Pila na ka adlaw nga init ang pamati ko.,CAR,Benguet
Bakit di mawala ang maplemang ubo?,CAR,Kalinga
Anyone have remedies for tb?,VI,Iloilo
Anyone have remedies for dry cough?,NCR,Metro Manila
"Ugh, cough for more than three weeks again...",VI,Aklan
"Dealing with tuberculosis, any tips?",I,La Union
This tuberculosis is really getting to me.,NCR,Metro Manila
Bakit di mawala ang plemang kulay berde?,XI,Davao de Oro
Ano bang gamot sa plemang kulay berde?,IVB,Marinduque
Feeling fever today. 😷,VIII,Northern Samar
I've had cough with yellowish or greenish sputum for a few days now.,VIII,Northern Samar
This tb is really getting to me.,XII,Sultan Kudarat
Can't shake off this dry cough.,VIII,Southern Leyte
Why won't this covid go away?,VII,Cebu
Anyone else experiencing dry cough?,IVB,Palawan
"Ugh, tuberculosis again...",VI,Guimaras
I've had cough for more than three weeks for a few days now.,CAR,Mountain Province
Anyone have remedies for cough with yellowish or greenish sputum?,II,Cagayan
Why won't this cough with yellowish or greenish sputum go away?,VIII,Samar
This covid is really getting to me.,XIII,Surigao del Sur
I've had tuberculosis for a few days now.,CAR,Ifugao
"Ugh, dry cough again...",VIII,Leyte
Feeling cough for more than three weeks today. 😷,III,Tarlac
Anyone have remedies for productive cough?,XII,Cotabato
"Dealing with dry cough, any tips?",XIII,Dinagat Islands
Feeling cough with yellowish or greenish sputum today. 😷,I,Ilocos Norte
"Dealing with tb, any tips?",III,Bataan
Ano bang gamot sa ubo?,XIII,Surigao del Norte
Nakakainis ang mahigit tatlong linggong ubo na ito.,VIII,Samar
Naay tambal para sa ubo nga naay plema?,BARMM,Lanao del Sur
Can't shake off this cough with yellowish or greenish sputum.,II,Nueva Vizcaya
Murag naghubak na naay kauban na dugo ko karon. 😷,VIII,Northern Samar
Murag hubak ko karon. ugh,IVA,Rizal
Murag hubak na walay plema ko karon. tips?,XI,Davao Oriental
Pakiramdam ko mainit ang pakiramdam ngayon. ugh,V,Sorsogon
Nindot kaayo ang adlaw! grateful,VIII,Southern Leyte
Ang ganda ng araw! 😊,IVB,Oriental Mindoro
Murag ubo nga naay dulaw ug berde plema ko karon. feeling bad,VI,Aklan
Ang ganda ng araw! 🌳,VI,Iloilo
Nindot kaayo ang adlaw! outside,XIII,Dinagat Islands
Murag init ang pamati ko karon. again,V,Camarines Sur
Pakiramdam ko plemang kulay berde ngayon. feeling bad,VI,Negros Occidental
Pakiramdam ko ubo ngayon. ugh,IVB,Oriental Mindoro
Pakiramdam ko ubong may plema ngayon. help?,CAR,Kalinga
Murag ubo nga naay plema ko karon. remedies?,CAR,Kalinga
Ang ganda ng araw! wonderful,VIII,Southern Leyte
Pakiramdam ko maplemang ubo ngayon. feeling bad,VIII,Eastern Samar
Murag init ang pamati ko karon. this sucks,VI,Iloilo
Pakiramdam ko mainit ang pakiramdam ngayon. remedies?,VIII,Southern Leyte
Murag naghubak na naay kauban na dugo ko karon. again,CAR,Mountain Province
Feeling cough with phlegm today. feeling bad,VI,Aklan
Pakiramdam ko ubong walang plema ngayon. remedies?,VIII,Leyte
Murag hilanat ko karon. remedies?,IVA,Cavite
Pakiramdam ko ubong walang plema ngayon. feeling bad,IX,Zamboanga del Sur
Feeling cough today. tips?,XIII,Surigao del Norte
Pakiramdam ko lagnat ngayon. this sucks,CAR,Kalinga
Murag hilanat ko karon. again,VI,Aklan
Murag ubo nga naay dulaw ug berde plema ko karon. again,IX,Zamboanga Sibugay
Pakiramdam ko plemang kulay dilaw ngayon. help?,BARMM,Tawi-tawi
Pakiramdam ko ubo ngayon. tips?,VII,Bohol
Pakiramdam ko ubo ngayon. remedies?,BARMM,Basilan
Murag init ang pamati ko karon. remedies?,XIII,Agusan del Sur
Murag ubo nga naay dulaw ug berde plema ko karon. help?,BARMM,Maguindanao del Sur
Ang ganda ng araw! weather,V,Camarines Sur
Ang ganda ng araw! outside,X,Misamis Oriental
Pakiramdam ko mainit ang pakiramdam ngayon. tips?,CAR,Apayao
Murag naghubak na naay kauban na dugo ko karon. this sucks,XI,Davao Oriental
Pakiramdam ko maplemang ubo ngayon. help?,VIII,Biliran
Nindot kaayo ang adlaw! home,BARMM,Basilan
Pakiramdam ko plemang kulay berde ngayon. help?,VI,Guimaras
Murag tb ko karon. tips?,IVA,Batangas
Pakiramdam ko ubo ngayon. again,V,Catanduanes
Pakiramdam ko plemang kulay berde ngayon. this sucks,BARMM,Maguindanao del Norte
Pakiramdam ko plemang kulay dilaw ngayon. feeling bad,II,Cagayan
Pakiramdam ko hindi nawawala ang ubo ngayon. help?,IVA,Cavite
Murag ubo nga naay dulaw ug berde plema ko karon. tips?,VI,Antique
Murag hilanat ko karon. help?,BARMM,Tawi-tawi
Ang ganda ng araw! home,NCR,Metro Manila
Murag hubak ko karon. this sucks,XII,Sultan Kudarat
Murag daghang plema ko karon. ugh,X,Misamis Oriental
Pakiramdam ko hindi nawawala ang ubo ngayon. remedies?,VIII,Biliran
Nindot kaayo ang adlaw! 🌳,VII,Negros Oriental
Murag tb ko karon. feeling bad,III,Zambales
Murag hubak ko karon. feeling bad,VI,Aklan
Murag hubak na walay plema ko karon. ugh,VIII,Biliran
Pakiramdam ko plemang kulay dilaw ngayon. again,IX,Zamboanga Sibugay
Ang ganda ng araw! city,IVA,Batangas
Murag kapin sa tulo ka semana nga ubo ko karon. feeling bad,VIII,Eastern Samar
Pakiramdam ko mahigit tatlong linggong ubo ngayon. this sucks,IX,Zamboanga Sibugay
Pakiramdam ko ubo ngayon. this sucks,XIII,Surigao del Sur
Nindot kaayo ang adlaw! city,XI,Davao Occidental
Nindot kaayo ang adlaw! wonderful,I,La Union
Feeling cough with phlegm today. remedies?,II,Quirino
Murag ubo ko karon. help?,BARMM,Maguindanao del Norte
Pakiramdam ko ubong may plema ngayon. tips?,III,Nueva Ecija
Nindot kaayo ang adlaw! skies,VII,Cebu
Ang ganda ng araw! skies,V,Sorsogon
Murag huyang ag ubo ko karon. this sucks,II,Isabela
Murag huyang ag ubo ko karon. remedies?,II,Quirino
What a beautiful day! outside,V,Camarines Sur
Murag hubak na walay plema ko karon. feeling bad,IVB,Oriental Mindoro
Murag ubo ko karon. tips?,CAR,Mountain Province
Pakiramdam ko matagal ng may ubo ngayon. remedies?,VI,Capiz
Murag ubo nga naay plema ko karon. help?,XI,Davao Occidental
Pakiramdam ko lagnat ngayon. feeling bad,XII,Sarangani
Murag kapin sa tulo ka semana nga ubo ko karon. tips?,CAR,Abra
What a beautiful day! wonderful,XI,Davao Occidental
What a beautiful day! city,XII,Sultan Kudarat
What a beautiful day! 🌳,IVB,Romblon
Pakiramdam ko mainit ang pakiramdam ngayon. again,VI,Negros Occidental
Murag init ang pamati/ hilanat ko karon. ugh,BARMM,Lanao del Sur
Murag ubo nga naay plema ko karon. ugh,VI,Guimaras
Murag init ang pamati ko karon. help?,XI,Davao Oriental
Feeling fever today. remedies?,III,Bataan
Ang ganda ng araw! grateful,IVB,Occidental Mindoro
Murag naghubak na naay kauban na dugo ko karon. remedies?,IX,Zamboanga del Sur
Pakiramdam ko matagal ng may ubo ngayon. this sucks,III,Tarlac
Pakiramdam ko plemang kulay berde ngayon. remedies?,II,Quirino
What a beautiful day! skies,IVA,Cavite
Pakiramdam ko mainit ang pakiramdam ngayon. this sucks,II,Batanes
Feeling cough today. feeling bad,VI,Antique
Murag hubak na walay plema ko karon. remedies?,VI,Antique
Murag daghang plema ko karon. feeling bad,V,Sorsogon
Murag hubak na walay plema ko karon. help?,VII,Siquijor
Pakiramdam ko ubong may plema ngayon. again,XIII,Surigao del Sur
Nindot kaayo ang adlaw! weather,VI,Negros Occidental
Feeling cough for more than three weeks today. this sucks,III,Nueva Ecija
Murag hilanat ko karon. tips?,VI,Guimaras
